epoch,accuracy,loss,val_accuracy,val_loss
0,0.7648860216140747,0.7005718350410461,0.3178955614566803,3.4531304836273193
1,0.8538529276847839,0.4654543101787567,0.3345986604690552,3.4233646392822266
2,0.8376433849334717,0.4963324964046478,0.6717153191566467,0.7802515625953674
3,0.8730501532554626,0.3774677813053131,0.8166643381118774,0.4511696994304657
4,0.8871704936027527,0.35325703024864197,0.8729913830757141,0.43704310059547424
5,0.8907239437103271,0.34941336512565613,0.9224051237106323,0.26019448041915894
6,0.8909258246421814,0.3363950550556183,0.9206821918487549,0.2536299526691437
7,0.8962432742118835,0.3252110779285431,0.9159972071647644,0.255627304315567
8,0.8953389525413513,0.30400678515434265,0.9225984811782837,0.2721986174583435
9,0.9179564714431763,0.2653038799762726,0.9301497340202332,0.22646445035934448
10,0.9131873250007629,0.2849082350730896,0.9277890920639038,0.2527327239513397
11,0.9033402800559998,0.3076574206352234,0.9037362337112427,0.31460851430892944
12,0.9113703370094299,0.26961272954940796,0.9319726228713989,0.2201453298330307
13,0.913322389125824,0.26387861371040344,0.939607560634613,0.18609732389450073
14,0.9247162938117981,0.2328903079032898,0.9388193488121033,0.19876804947853088
15,0.9139734506607056,0.2538864314556122,0.9376289248466492,0.2006489634513855
16,0.9338890314102173,0.2080017626285553,0.8706070184707642,0.36266863346099854
17,0.924723207950592,0.2249303013086319,0.9461325407028198,0.1681426614522934
18,0.9215089678764343,0.2517799139022827,0.9240835905075073,0.2301851361989975
19,0.9241047501564026,0.22168485820293427,0.9416519403457642,0.19940486550331116
20,0.9341835975646973,0.1995154172182083,0.9533412456512451,0.1440814733505249
21,0.9343584179878235,0.20443657040596008,0.7813707590103149,1.7344071865081787
22,0.9023758172988892,0.29797711968421936,0.9304949045181274,0.24572068452835083
23,0.9168086647987366,0.24720682203769684,0.9302094578742981,0.22577883303165436
24,0.9385402798652649,0.18899694085121155,0.9487965106964111,0.1720375418663025
25,0.9343374967575073,0.19080527126789093,0.9394173622131348,0.20026935636997223
26,0.9442164301872253,0.1684545874595642,0.9506822824478149,0.1532081663608551
27,0.9451520442962646,0.164193794131279,0.9474118947982788,0.16972678899765015
28,0.9125126600265503,0.24873501062393188,0.8983206748962402,0.4009896516799927
29,0.935403048992157,0.19978301227092743,0.9485670924186707,0.16339926421642303
30,0.9372313618659973,0.19222813844680786,0.9500582218170166,0.15901504456996918
31,0.9493746757507324,0.16312114894390106,0.9466457962989807,0.16537189483642578
32,0.9535002708435059,0.1443718820810318,0.9536464214324951,0.1360359787940979
33,0.9515321850776672,0.14666660130023956,0.959317684173584,0.1223958283662796
34,0.9547839164733887,0.13854330778121948,0.9583805799484253,0.12020573019981384
35,0.9577720761299133,0.1322668343782425,0.9618346095085144,0.11062195897102356
36,0.9528375864028931,0.13771690428256989,0.960755467414856,0.11830625683069229
37,0.9585326910018921,0.1266898363828659,0.9655233025550842,0.09943556040525436
38,0.9602997899055481,0.12135574966669083,0.9660421013832092,0.10470890998840332
39,0.9635879397392273,0.10873326659202576,0.9633426070213318,0.1072806715965271
40,0.9655340313911438,0.10088843107223511,0.9659879207611084,0.09594756364822388
41,0.9643893241882324,0.10232623666524887,0.9664806723594666,0.09389887750148773
42,0.9620658159255981,0.10902285575866699,0.9678836464881897,0.09355843812227249
43,0.9626758694648743,0.10871052742004395,0.9705018401145935,0.08947084099054337
44,0.9535799026489258,0.13137026131153107,0.9659529328346252,0.09472309798002243
45,0.9633379578590393,0.10536934435367584,0.971095621585846,0.08801782876253128
46,0.969163715839386,0.09089743345975876,0.9713039994239807,0.08943033963441849
47,0.9701144099235535,0.08843058347702026,0.9715957641601562,0.08095857501029968
48,0.9692364931106567,0.0902549996972084,0.9738851189613342,0.08166129142045975
49,0.9724103212356567,0.08302613347768784,0.9723708033561707,0.08292460441589355
50,0.9762824773788452,0.06853177398443222,0.9750600457191467,0.0734228789806366
51,0.9764942526817322,0.06830515712499619,0.9758103489875793,0.07040565460920334
52,0.9783612489700317,0.06189927086234093,0.976200520992279,0.07127110660076141
53,0.9776750206947327,0.062436118721961975,0.9759103059768677,0.0700635090470314
54,0.9760045409202576,0.06819548457860947,0.9626362323760986,0.10153256356716156
55,0.9747506380081177,0.07106701284646988,0.9732237458229065,0.07670487463474274
56,0.9786962270736694,0.059247374534606934,0.9755719900131226,0.07139840722084045
57,0.9805411100387573,0.05632279813289642,0.97454833984375,0.07417137920856476
58,0.9723855257034302,0.07987022399902344,0.9737075567245483,0.0809149518609047
59,0.968632161617279,0.09200087934732437,0.9681733250617981,0.08957584947347641
60,0.9668686985969543,0.09747935086488724,0.9700280427932739,0.10090798139572144
61,0.9633632302284241,0.10934638977050781,0.9628006219863892,0.10980574786663055
62,0.9725627303123474,0.08090520650148392,0.9744580984115601,0.07956896722316742
63,0.9790690541267395,0.060953713953495026,0.9749261140823364,0.07596754282712936
64,0.9796033501625061,0.060575179755687714,0.9762057662010193,0.07174137234687805
65,0.9813807010650635,0.05398300662636757,0.9767019152641296,0.07004322111606598
66,0.9796256422996521,0.06289266794919968,0.9760542511940002,0.07203969359397888
67,0.9796997904777527,0.06082439422607422,0.9768526554107666,0.06884092092514038
68,0.9771052002906799,0.06571093946695328,0.9763609766960144,0.07212838530540466
69,0.9824880361557007,0.05050065740942955,0.9774911999702454,0.06852933019399643
70,0.9826241135597229,0.05055328831076622,0.9768205881118774,0.07060393691062927
71,0.9832981824874878,0.04812891036272049,0.977114737033844,0.06861459463834763
72,0.9832072257995605,0.048757001757621765,0.9778060913085938,0.06829831004142761
73,0.9836394786834717,0.04624020680785179,0.9782851934432983,0.06562556326389313
74,0.9842047691345215,0.04473559930920601,0.9782912135124207,0.06537005305290222
75,0.9807236790657043,0.05778715759515762,0.9781386256217957,0.06762859970331192
76,0.9808393120765686,0.0571049302816391,0.9772160053253174,0.0692945346236229
77,0.9789186716079712,0.06704256683588028,0.9779402613639832,0.06822694092988968
78,0.9837114810943604,0.04703322798013687,0.9775204062461853,0.06663502752780914
79,0.9849715232849121,0.042731478810310364,0.9779158234596252,0.0658554881811142
80,0.985870361328125,0.039932046085596085,0.9786369204521179,0.06405623257160187
81,0.9835587739944458,0.05380748212337494,0.9780452251434326,0.06739228218793869
82,0.982561469078064,0.04946829751133919,0.9784369468688965,0.06868388503789902
83,0.9839364290237427,0.04628458991646767,0.9781914949417114,0.06603182107210159
84,0.9856330752372742,0.040223971009254456,0.9785416722297668,0.06650321185588837
85,0.9861171841621399,0.03866178169846535,0.9785993099212646,0.06577342748641968
86,0.9867859482765198,0.03655129671096802,0.9788416028022766,0.06529523432254791
87,0.9861041307449341,0.03864584118127823,0.9790993928909302,0.061928100883960724
88,0.9866208434104919,0.03718803822994232,0.9789778590202332,0.06650322675704956
89,0.9863473176956177,0.037759117782115936,0.9782294034957886,0.06617451459169388
90,0.987442135810852,0.033690571784973145,0.9784135222434998,0.06711016595363617
91,0.9880071878433228,0.032880812883377075,0.9794369339942932,0.06344875693321228
92,0.9877700805664062,0.03310007601976395,0.9790552258491516,0.06582406163215637
93,0.9879115223884583,0.032861340790987015,0.9793993234634399,0.06444606930017471
94,0.9877321720123291,0.033644791692495346,0.9785319566726685,0.06625838577747345
95,0.9865660667419434,0.03739692270755768,0.9791948795318604,0.06720022857189178
96,0.984362781047821,0.05178080499172211,0.9797055721282959,0.06416354328393936
97,0.9886674880981445,0.03061886690557003,0.9791336059570312,0.06403947621583939
98,0.987755298614502,0.035086359828710556,0.9798604846000671,0.06418448686599731
99,0.9876037836074829,0.034594979137182236,0.9794793128967285,0.06420324742794037
