epoch,accuracy,loss,val_accuracy,val_loss
0,0.7957658171653748,0.640052855014801,0.3178955614566803,6.16732120513916
1,0.846259593963623,0.48079419136047363,0.3197211027145386,5.02156400680542
2,0.861239492893219,0.45258817076683044,0.6466548442840576,0.8939098715782166
3,0.8686472177505493,0.4111556112766266,0.8866413831710815,0.35521456599235535
4,0.8916587233543396,0.3409510552883148,0.9019104242324829,0.30600616335868835
5,0.8973724246025085,0.3070943355560303,0.9319618344306946,0.23153771460056305
6,0.8994684219360352,0.31802791357040405,0.9289842844009399,0.2518575191497803
7,0.9088279008865356,0.2874041497707367,0.9289005994796753,0.22481080889701843
8,0.90406733751297,0.305885374546051,0.9301373958587646,0.23432524502277374
9,0.9159407019615173,0.26675814390182495,0.9356134533882141,0.2141464501619339
10,0.9122785329818726,0.2644365131855011,0.8986145257949829,0.319641649723053
11,0.9048412442207336,0.28657203912734985,0.8369017243385315,0.4150952398777008
12,0.9085962772369385,0.2711542844772339,0.9257838726043701,0.2514667212963104
13,0.9282222986221313,0.2317243218421936,0.9439323544502258,0.19413216412067413
14,0.9301319122314453,0.21515364944934845,0.9418647885322571,0.18692685663700104
15,0.9379636645317078,0.19481125473976135,0.9395318031311035,0.1819317489862442
16,0.9388058185577393,0.1960088461637497,0.9166412353515625,0.26987868547439575
17,0.9094650149345398,0.28260037302970886,0.9277380704879761,0.2605005204677582
18,0.9153246283531189,0.2653941810131073,0.9382469058036804,0.2120376080274582
19,0.9244335889816284,0.23873832821846008,0.9433864951133728,0.19929645955562592
20,0.9109380841255188,0.25803592801094055,0.9471262097358704,0.16920778155326843
21,0.9391926527023315,0.1912764012813568,0.9357781410217285,0.19169460237026215
22,0.944017231464386,0.16872231662273407,0.9403809905052185,0.19919048249721527
23,0.945556104183197,0.16305524110794067,0.9501489996910095,0.1551084667444229
24,0.9329987168312073,0.19742418825626373,0.9177761673927307,0.22961485385894775
25,0.9363675117492676,0.21215109527111053,0.9427808523178101,0.1911758929491043
26,0.9440103769302368,0.17188994586467743,0.9514849185943604,0.1321277618408203
27,0.9511991143226624,0.14719951152801514,0.9442970156669617,0.1593421995639801
28,0.9494026303291321,0.14605538547039032,0.9477455019950867,0.14936646819114685
29,0.9554008841514587,0.131731778383255,0.9553980231285095,0.12033286690711975
30,0.9543119072914124,0.12860552966594696,0.9461143612861633,0.15704995393753052
31,0.9529326558113098,0.13764546811580658,0.9509924650192261,0.14192147552967072
32,0.9578805565834045,0.12094712257385254,0.9562767148017883,0.13036023080348969
33,0.9428838491439819,0.16576695442199707,0.9560922980308533,0.12855184078216553
34,0.9591187238693237,0.11844135075807571,0.966244637966156,0.10521170496940613
35,0.9655375480651855,0.09826159477233887,0.9671359658241272,0.10031671077013016
36,0.9687143564224243,0.0899219810962677,0.9631505608558655,0.1042412593960762
37,0.9534618854522705,0.13454754650592804,0.9243819117546082,0.22396564483642578
38,0.9208095669746399,0.2492363601922989,0.924130916595459,0.2252897173166275
39,0.9320751428604126,0.2133176326751709,0.954498291015625,0.13153518736362457
40,0.9496883153915405,0.14534661173820496,0.9600151181221008,0.11987251043319702
41,0.9628214836120605,0.1068401038646698,0.9689283967018127,0.08925642818212509
42,0.9661106467247009,0.09812882542610168,0.9638469219207764,0.10761720687150955
43,0.9657919406890869,0.10063353925943375,0.9673064947128296,0.09868000447750092
44,0.9548994898796082,0.13899946212768555,0.95574951171875,0.1328819990158081
45,0.9654026031494141,0.10461119562387466,0.9678773283958435,0.09869415313005447
46,0.9743499755859375,0.07384270429611206,0.9668636918067932,0.09245767444372177
47,0.9769302606582642,0.06469088792800903,0.9749839901924133,0.07155097275972366
48,0.9687829613685608,0.08701545000076294,0.9693824648857117,0.10514681041240692
49,0.9634029269218445,0.10165803134441376,0.9671844244003296,0.10282954573631287
50,0.9729899764060974,0.07874888181686401,0.969635546207428,0.09330177307128906
51,0.9782982468605042,0.06373995542526245,0.9745498895645142,0.07596621662378311
52,0.9784837961196899,0.061264026910066605,0.9747327566146851,0.07580103725194931
53,0.97727370262146,0.06680157035589218,0.9734355211257935,0.07377106696367264
54,0.9709491729736328,0.0848131775856018,0.9709609746932983,0.09302134066820145
55,0.9780277609825134,0.06569138914346695,0.9738559126853943,0.07448647171258926
56,0.9801883101463318,0.057586152106523514,0.9763025641441345,0.06897494941949844
57,0.9833974838256836,0.04669545963406563,0.9778373837471008,0.062360979616642
58,0.9846764802932739,0.04193280264735222,0.9792711734771729,0.059046339243650436
59,0.9845343828201294,0.04387837275862694,0.9772807359695435,0.06243881583213806
60,0.9850240349769592,0.041826240718364716,0.9787108302116394,0.06148223578929901
61,0.9857813715934753,0.03859028220176697,0.978636622428894,0.06298637390136719
62,0.9857640862464905,0.0381043404340744,0.9783498644828796,0.06434397399425507
