epoch,accuracy,loss,val_accuracy,val_loss
0,0.6544464826583862,1.0863767862319946,0.40904703736305237,1.396203637123108
1,0.7208384871482849,0.8309239745140076,0.40917277336120605,1.2850967645645142
2,0.745764434337616,0.7376837134361267,0.5989158749580383,0.9291659593582153
3,0.7507004141807556,0.710818350315094,0.7697664499282837,0.6640152931213379
4,0.7672762870788574,0.6660216450691223,0.7992489337921143,0.6012364625930786
5,0.785041332244873,0.624013364315033,0.8003070950508118,0.5730140805244446
6,0.7848244309425354,0.6057632565498352,0.7929381728172302,0.5902631282806396
7,0.7950551509857178,0.5742796659469604,0.8092212080955505,0.5313106775283813
8,0.8108323216438293,0.5398122668266296,0.7573114633560181,0.6199498176574707
9,0.8209789395332336,0.513672411441803,0.6832861304283142,0.7455639839172363
10,0.823516845703125,0.4915044605731964,0.7850288152694702,0.5975472331047058
11,0.8358994722366333,0.46269699931144714,0.7655342817306519,0.6231160163879395
12,0.8423179388046265,0.436923623085022,0.7547814846038818,0.6091691851615906
13,0.8559970259666443,0.41087254881858826,0.8012666702270508,0.5246421694755554
14,0.8706009984016418,0.3685832619667053,0.8170962333679199,0.5082108974456787
15,0.8768954277038574,0.3523281216621399,0.7585666179656982,0.690157413482666
16,0.8948134183883667,0.305906742811203,0.7951999306678772,0.574562132358551
17,0.9000347852706909,0.28512710332870483,0.7764577865600586,0.6137575507164001
18,0.9047357439994812,0.2733227014541626,0.8149586319923401,0.5480381846427917
19,0.9089885354042053,0.26331987977027893,0.8210102319717407,0.49705925583839417
20,0.9192551374435425,0.2321726679801941,0.7739018797874451,0.680528461933136
21,0.9276770949363708,0.20829293131828308,0.820927619934082,0.5701733231544495
22,0.9305049180984497,0.19526423513889313,0.780380368232727,0.7042632699012756
23,0.921639084815979,0.22209984064102173,0.7867675423622131,0.6109110116958618
24,0.9279573559761047,0.20460903644561768,0.8071472644805908,0.5883172154426575
25,0.9395042657852173,0.16870564222335815,0.8162328004837036,0.5852069854736328
26,0.9370710253715515,0.17659153044223785,0.8252483606338501,0.6052697896957397
27,0.9389328360557556,0.16839773952960968,0.7644285559654236,0.784365713596344
28,0.9351247549057007,0.1781623512506485,0.8224032521247864,0.5612542629241943
29,0.9479859471321106,0.1410161405801773,0.8371227383613586,0.519245445728302
30,0.9476660490036011,0.14124539494514465,0.8319231867790222,0.5534574389457703
31,0.9445239305496216,0.1517871916294098,0.8362971544265747,0.5567062497138977
32,0.9438562393188477,0.15318025648593903,0.8143007755279541,0.6254643201828003
33,0.9496977925300598,0.13540387153625488,0.7983502149581909,0.7035449743270874
34,0.9542815089225769,0.12050832808017731,0.8328638672828674,0.5329224467277527
35,0.9535374045372009,0.12339258939027786,0.8198271989822388,0.5922566652297974
36,0.9511000514030457,0.12969091534614563,0.8243115544319153,0.6340731382369995
37,0.95441734790802,0.1198454350233078,0.833090603351593,0.6107786893844604
38,0.9560121893882751,0.1153653934597969,0.8358493447303772,0.6190240979194641
39,0.9607558846473694,0.10090860724449158,0.8211296200752258,0.6921972632408142
